127.0.0.1 - - [08/Jun/2022:15:09:40 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:42 +0700] "GET /Project_CuoiKy/view/client/cart.jsp HTTP/1.1" 200 12603
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:42 +0700] "GET /Project_CuoiKy/view/client/css/blog.css;jsessionid=5C5449B0A833ED73A7084F5551FF6694 HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:42 +0700] "GET /Project_CuoiKy/view//client/css/order.css;jsessionid=5C5449B0A833ED73A7084F5551FF6694 HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:42 +0700] "GET /Project_CuoiKy/view/client/css/login.css;jsessionid=5C5449B0A833ED73A7084F5551FF6694 HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:42 +0700] "GET /Project_CuoiKy/view//client/css/style.css;jsessionid=5C5449B0A833ED73A7084F5551FF6694 HTTP/1.1" 200 9663
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:42 +0700] "GET /Project_CuoiKy/view//client/css/single-product.css;jsessionid=5C5449B0A833ED73A7084F5551FF6694 HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:42 +0700] "GET /Project_CuoiKy/view/client/css/cart.css;jsessionid=5C5449B0A833ED73A7084F5551FF6694 HTTP/1.1" 200 3450
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:42 +0700] "GET /Project_CuoiKy/view/client/js/slider.js;jsessionid=5C5449B0A833ED73A7084F5551FF6694 HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:42 +0700] "GET /Project_CuoiKy/view/client/css/shop.css;jsessionid=5C5449B0A833ED73A7084F5551FF6694 HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:42 +0700] "GET /Project_CuoiKy/view/client/js/product-slider.js;jsessionid=5C5449B0A833ED73A7084F5551FF6694 HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:43 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:56 +0700] "GET /Project_CuoiKy/home;jsessionid=5C5449B0A833ED73A7084F5551FF6694 HTTP/1.1" 200 13375
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:56 +0700] "GET /Project_CuoiKy/view//client/css/style.css HTTP/1.1" 200 9663
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:56 +0700] "GET /Project_CuoiKy/view//client/css/order.css HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:56 +0700] "GET /Project_CuoiKy/view/client/css/shop.css HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:56 +0700] "GET /Project_CuoiKy/view/client/css/blog.css HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:56 +0700] "GET /Project_CuoiKy/view/client/css/cart.css HTTP/1.1" 200 3450
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:56 +0700] "GET /Project_CuoiKy/view/client/js/slider.js HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:56 +0700] "GET /Project_CuoiKy/view//client/css/single-product.css HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:56 +0700] "GET /Project_CuoiKy/view/client/css/login.css HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:56 +0700] "GET /Project_CuoiKy/view/client/js/product-slider.js HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:09:59 +0700] "GET /Project_CuoiKy/view/client/cart.jsp HTTP/1.1" 200 11722
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:10:07 +0700] "GET /Project_CuoiKy/view/client/blogs.jsp HTTP/1.1" 200 12183
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:10:08 +0700] "GET /Project_CuoiKy/view/client/blogs.jsp HTTP/1.1" 200 12183
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:10:11 +0700] "GET /Project_CuoiKy/about HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:10:15 +0700] "GET /Project_CuoiKy/home HTTP/1.1" 200 13375
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:10:27 +0700] "GET /Project_CuoiKy/shop?gender=0 HTTP/1.1" 200 12312
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:10:30 +0700] "GET /Project_CuoiKy/shop?gender=1 HTTP/1.1" 200 12307
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:10:37 +0700] "GET /Project_CuoiKy/shop?gender=1 HTTP/1.1" 200 12307
